Order,Family,Genus,Scientific Name,Common Name,Vertical Station,Schooling Behaviour,Reference: VS,Reference: SB
Cypriniformes,Leuciscidae,Cyprinella,Cyprinella analostana,Satinfin Shiner,benthopelagic,NA,FishBase,NA
Cypriniformes,Leuciscidae,Cyprinella,Cyprinella lutrensis,Red Shiner,benthopelagic,schooling,FishBase,Illinois DNR
Cypriniformes,Leuciscidae,Cyprinella,Cyprinella spiloptera,Spotfin Shiner,benthopelagic,schooling,FishBase,Seghers 1981
Cypriniformes,Leuciscidae,Cyprinella,Cyprinella whipplei,Steelcolor Shiner,benthopelagic,schooling,FishBase,Illinois DNR
Cypriniformes,Cyprinidae,Cyprinus,Cyprinus carpio,Common Carp,benthopelagic,schooling,FishBase,Okanagan Invasive Species Online
Clupeiformes,Clupeidae,Dorosoma,Dorosoma cepedianum,Gizzard Shad,pelagic,schooling,FishBase,South Carolina DNR
Perciformes,Centrarchidae,Enneacanthus,Enneacanthus gloriosus,Bluespotted Sunfish,demersal,NA,FishBase,NA
Cypriniformes,Leuciscidae,Erimystax,Erimystax x-punctatus,Gravel Chub,demersal,NA,FishBase,NA
Cypriniformes,Catostomidae,Erimyzon,Erimyzon oblongus,Creek Chubsucker,demersal,non-schooling,FishBase,New Jersey Fish and Wildlife
Cypriniformes,Catostomidae,Erimyzon,Erimyzon sucetta,Lake Chubsucker,demersal,NA,FishBase,NA
Esociformes,Esocidae,Esox,Esox americanus ,American Pickerel,demersal,non-schooling,FishBase,animaldiversity.org
Esociformes,Esocidae,Esox,Esox lucius,Northern Pike,pelagic,non-schooling,FishBase,Fisheries and Oceans Canada
Esociformes,Esocidae,Esox,Esox masquinongy,Muskellunge,demersal,non-schooling,FishBase,Wisconsin DNR
Esociformes,Esocidae,Esox,Esox niger,Chain Pickerel,demersal,non-schooling,FishBase,animaldiversity.org
Perciformes,Percidae,Etheostoma,Etheostoma blennioides,Greenside Darter,benthopelagic,non-schooling,FishBase,Poulin 1991
Perciformes,Percidae,Etheostoma,Etheostoma caeruleum,Rainbow Darter,benthopelagic,NA,FishBase,NA
Perciformes,Percidae,Etheostoma,Etheostoma chlorosomum,Bluntnose Darter,benthopelagic,non-schooling,FishBase,Encyclopedia of Life
Perciformes,Percidae,Etheostoma,Etheostoma exile,Iowa Darter,benthopelagic,non-schooling,FishBase,Poulin 1991
Perciformes,Percidae,Etheostoma,Etheostoma flabellare,Fantail Darter,benthopelagic,non-schooling,FishBase,Poulin 1991
Perciformes,Percidae,Etheostoma,Etheostoma microperca,Least Darter,benthopelagic,non-schooling,FishBase,animaldiversity.org
Perciformes,Percidae,Etheostoma,Etheostoma nigrum,Johnny Darter,benthopelagic,non-schooling,FishBase,animaldiversity.org
Perciformes,Percidae,Etheostoma,Etheostoma olmstedi,Tessellated Darter,benthopelagic,NA,FishBase,NA
Perciformes,Percidae,Etheostoma,Etheostoma spectabile,Orangethroat Darter,benthopelagic,NA,FishBase,NA
Perciformes,Percidae,Etheostoma,Etheostoma zonale,Banded Darter,benthopelagic,NA,FishBase,NA
Cypriniformes,Leuciscidae,Exoglossum,Exoglossum laurae,Tonguetied Minnow,demersal,NA,FishBase,NA
Cypriniformes,Leuciscidae,Exoglossum,Exoglossum maxillingua,Cutlips Minnow,demersal,NA,FishBase,NA
Cyprinodontiformes,Fundulidae,Fundulus,Fundulus diaphanus,Banded Killifish,benthopelagic,schooling,FishBase,Morgan and Godin 1985
Cyprinodontiformes,Fundulidae,Fundulus,Fundulus dispar,Starhead Topminnow,benthopelagic,non-schooling,FishBase,Illinois DNR
Cyprinodontiformes,Fundulidae,Fundulus,Fundulus heteroclitus,Mummichog,benthopelagic,schooling,FishBase,South Carolina DNR
Cyprinodontiformes,Fundulidae,Fundulus,Fundulus notatus,Blackstripe Topminnow,benthopelagic,NA,FishBase,NA
Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia affinis,Western Mosquitofish,benthopelagic,schooling,FishBase,Pyke 2005
Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,Threespine Stickleback,benthopelagic,schooling,FishBase,Richards et al 2011
Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus wheatlandi,Blackspotted Stickleback,benthopelagic,schooling,FishBase,Delbeek and Williams 1987
Perciformes,Percidae,Gymnocephalus,Gymnocephalus cernua,Ruffe ,benthopelagic,non-schooling,FishBase,FishBase
Hiodontiformes,Hiodontidae,Hiodon,Hiodon tergisus,Mooneye,pelagic,schooling,FishBase,ontariofishes.ca
Cypriniformes,Leuciscidae,Hybognathus,Hybognathus hankinsoni,Brassy Minnow,demersal,schooling,FishBase,Illinois DNR
Cypriniformes,Leuciscidae,Hybognathus,Hybognathus regius,Eastern Silvery minnow,benthopelagic,schooling,FishBase,North American Native Fishes Association 
Cypriniformes,Catostomidae,Hypentelium,Hypentelium nigricans,Northern Hogsucker,demersal,NA,FishBase,NA
Cypriniformes,Cyprinidae,Hypophtalmichthys,Hypophthalmichthys molitrix,Silver Carp,benthopelagic,schooling,FishBase,US Fish and Wildlife Service
Cypriniformes,Cyprinidae,Hypophtalmichthys,Hypophthalmichthys nobilis,Bighead Carp,benthopelagic,schooling,FishBase,Ghosal et al 2016
Petromyzontiformes,Petromyzontidae,Ichthyomyzon,Ichthyomyzon castaneus,Chestnut Lamprey,demersal,non-schooling,FishBase,animaldiversity.org
